# Source: HSE PCRS Annual Reporting Portal (public, no login required)
# https://www.sspcrs.ie/portal/annual-reporting/report/pharmacy -> "Top 100 Prescribing Products" (Monthly), Scheme Type = GMS
# Collected manually on 2026-07-29. Full 8 years available on the portal (Jan 2016 - Dec 2023), all 12 months
# each year, for the Republic of Ireland (GMS scheme only) - NOT this pharmacy's own sales. Used to derive both
# a relative demand weight between drugs AND a real month-of-year seasonal index per drug, averaged across all
# 8 years (see app/pcrs.py) - not a single year's noise.
# A handful of 2016-2017 months show fewer than 15 drugs - some simply weren't in the GMS top-100 that early.
# Amoxicillin also drops out of several mid-summer months most years (antibiotic prescribing dips then).
# These gaps are left absent rather than guessed at; app/pcrs.py falls back to a flat 1.0 multiplier for them.
year_month,product_name,prescribing_frequency
201901,Paracetamol,131228
201901,Acetylsalicylic Acid,167172
201901,Bisoprolol,108881
201901,Rosuvastatin,74232
201901,Salbutamol (Inhaled),105243
201901,Pantoprazole,64082
201901,Amlodipine,73352
201901,Folic Acid,52533
201901,Ramipril,65088
201901,Sertraline,40908
201901,Amoxicillin,56213
201902,Atorvastatin,147252
201902,Levothyroxine Sodium,138849
201902,Colecalciferol,64373
201902,Esomeprazole,111567
201902,Paracetamol,118059
201902,Acetylsalicylic Acid,152331
201902,Bisoprolol,99845
201902,Rosuvastatin,68353
201902,Salbutamol (Inhaled),92353
201902,Pantoprazole,58578
201902,Amlodipine,67905
201902,Folic Acid,48398
201902,Ramipril,59690
201902,Sertraline,37746
201902,Amoxicillin,41818
201903,Atorvastatin,155860
201903,Levothyroxine Sodium,146904
201903,Colecalciferol,69468
201903,Esomeprazole,118247
201903,Paracetamol,122538
201903,Acetylsalicylic Acid,160634
201903,Bisoprolol,105534
201903,Rosuvastatin,72522
201903,Salbutamol (Inhaled),95743
201903,Pantoprazole,61903
201903,Amlodipine,71883
201903,Folic Acid,51067
201903,Ramipril,63378
201903,Sertraline,39995
201903,Amoxicillin,38298
201904,Atorvastatin,156432
201904,Levothyroxine Sodium,147873
201904,Colecalciferol,70910
201904,Esomeprazole,118710
201904,Paracetamol,123329
201904,Acetylsalicylic Acid,160047
201904,Bisoprolol,106070
201904,Rosuvastatin,72546
201904,Salbutamol (Inhaled),95955
201904,Pantoprazole,62163
201904,Amlodipine,71627
201904,Folic Acid,51581
201904,Ramipril,63896
201904,Sertraline,40359
201904,Amoxicillin,39563
201905,Atorvastatin,163735
201905,Levothyroxine Sodium,155763
201905,Colecalciferol,75547
201905,Esomeprazole,125365
201905,Paracetamol,127955
201905,Acetylsalicylic Acid,167184
201905,Bisoprolol,111364
201905,Rosuvastatin,76283
201905,Salbutamol (Inhaled),99745
201905,Pantoprazole,65358
201905,Amlodipine,75189
201905,Folic Acid,54515
201905,Ramipril,67122
201905,Sertraline,43084
201906,Atorvastatin,151516
201906,Levothyroxine Sodium,144020
201906,Colecalciferol,70310
201906,Esomeprazole,115237
201906,Paracetamol,117645
201906,Acetylsalicylic Acid,154028
201906,Bisoprolol,102878
201906,Rosuvastatin,70291
201906,Salbutamol (Inhaled),90778
201906,Pantoprazole,60712
201906,Amlodipine,68955
201906,Folic Acid,50370
201906,Ramipril,61697
201906,Sertraline,39409
201907,Atorvastatin,162575
201907,Levothyroxine Sodium,154871
201907,Colecalciferol,75489
201907,Esomeprazole,124059
201907,Paracetamol,124970
201907,Acetylsalicylic Acid,164498
201907,Bisoprolol,110331
201907,Rosuvastatin,75459
201907,Salbutamol (Inhaled),95821
201907,Pantoprazole,64815
201907,Amlodipine,73755
201907,Folic Acid,54688
201907,Ramipril,66385
201907,Sertraline,42630
201908,Atorvastatin,161442
201908,Levothyroxine Sodium,153978
201908,Colecalciferol,74869
201908,Esomeprazole,123756
201908,Paracetamol,121902
201908,Acetylsalicylic Acid,162625
201908,Bisoprolol,109927
201908,Rosuvastatin,75271
201908,Salbutamol (Inhaled),92633
201908,Pantoprazole,64540
201908,Amlodipine,72994
201908,Folic Acid,54072
201908,Ramipril,65573
201908,Sertraline,42342
201909,Atorvastatin,154544
201909,Levothyroxine Sodium,143110
201909,Colecalciferol,73371
201909,Esomeprazole,119258
201909,Paracetamol,120989
201909,Acetylsalicylic Acid,155040
201909,Bisoprolol,105206
201909,Rosuvastatin,72283
201909,Salbutamol (Inhaled),96494
201909,Pantoprazole,62464
201909,Amlodipine,69834
201909,Folic Acid,52122
201909,Ramipril,62592
201909,Sertraline,40980
201909,Amoxicillin,40011
201910,Atorvastatin,162370
201910,Levothyroxine Sodium,151386
201910,Colecalciferol,78457
201910,Esomeprazole,127116
201910,Paracetamol,126933
201910,Acetylsalicylic Acid,161807
201910,Bisoprolol,110457
201910,Rosuvastatin,75590
201910,Salbutamol (Inhaled),101312
201910,Pantoprazole,66722
201910,Amlodipine,73238
201910,Folic Acid,54549
201910,Ramipril,65860
201910,Sertraline,43374
201910,Amoxicillin,46099
201911,Atorvastatin,162370
201911,Levothyroxine Sodium,151386
201911,Colecalciferol,78457
201911,Esomeprazole,127116
201911,Paracetamol,126933
201911,Acetylsalicylic Acid,161807
201911,Bisoprolol,110457
201911,Rosuvastatin,75590
201911,Salbutamol (Inhaled),101312
201911,Pantoprazole,66722
201911,Amlodipine,73238
201911,Folic Acid,54549
201911,Ramipril,65860
201911,Sertraline,43374
201911,Amoxicillin,46099
201912,Atorvastatin,162039
201912,Levothyroxine Sodium,152995
201912,Colecalciferol,80811
201912,Esomeprazole,127635
201912,Paracetamol,132799
201912,Acetylsalicylic Acid,160103
201912,Bisoprolol,110254
201912,Rosuvastatin,76041
201912,Salbutamol (Inhaled),109368
201912,Pantoprazole,67796
201912,Amlodipine,73247
201912,Folic Acid,54680
201912,Ramipril,65301
201912,Sertraline,43223
201912,Amoxicillin,77009
202001,Atorvastatin,164866
202001,Levothyroxine Sodium,156248
202001,Colecalciferol,85131
202001,Esomeprazole,130865
202001,Paracetamol,134068
202001,Acetylsalicylic Acid,162000
202001,Bisoprolol,112600
202001,Rosuvastatin,77434
202001,Salbutamol (Inhaled),105020
202001,Pantoprazole,69780
202001,Amlodipine,74583
202001,Folic Acid,56214
202001,Ramipril,66461
202001,Sertraline,45521
202001,Amoxicillin,56678
202002,Atorvastatin,154368
202002,Levothyroxine Sodium,146587
202002,Colecalciferol,81733
202002,Esomeprazole,121978
202002,Paracetamol,123280
202002,Acetylsalicylic Acid,151222
202002,Bisoprolol,105451
202002,Rosuvastatin,72797
202002,Salbutamol (Inhaled),94274
202002,Pantoprazole,64733
202002,Amlodipine,69888
202002,Folic Acid,53100
202002,Ramipril,62212
202002,Sertraline,42245
202002,Amoxicillin,44833
202003,Atorvastatin,172247
202003,Levothyroxine Sodium,165900
202003,Colecalciferol,93613
202003,Esomeprazole,135522
202003,Paracetamol,150025
202003,Acetylsalicylic Acid,167524
202003,Bisoprolol,116353
202003,Rosuvastatin,81942
202003,Salbutamol (Inhaled),131147
202003,Pantoprazole,71719
202003,Amlodipine,78489
202003,Folic Acid,59043
202003,Ramipril,69280
202003,Sertraline,47258
202003,Amoxicillin,46273
202004,Atorvastatin,163922
202004,Levothyroxine Sodium,155048
202004,Colecalciferol,91595
202004,Esomeprazole,128047
202004,Paracetamol,135751
202004,Acetylsalicylic Acid,158231
202004,Bisoprolol,110627
202004,Rosuvastatin,77295
202004,Salbutamol (Inhaled),105106
202004,Pantoprazole,68256
202004,Amlodipine,73814
202004,Folic Acid,55882
202004,Ramipril,65327
202004,Sertraline,44850
202005,Atorvastatin,160179
202005,Levothyroxine Sodium,152559
202005,Colecalciferol,91521
202005,Esomeprazole,125994
202005,Paracetamol,128647
202005,Acetylsalicylic Acid,154416
202005,Bisoprolol,108343
202005,Rosuvastatin,75577
202005,Salbutamol (Inhaled),96316
202005,Pantoprazole,67206
202005,Amlodipine,72157
202005,Folic Acid,54761
202005,Ramipril,64062
202005,Sertraline,45012
202006,Atorvastatin,160968
202006,Levothyroxine Sodium,153734
202006,Colecalciferol,93321
202006,Esomeprazole,128076
202006,Paracetamol,128332
202006,Acetylsalicylic Acid,154615
202006,Bisoprolol,109015
202006,Rosuvastatin,76295
202006,Salbutamol (Inhaled),94002
202006,Pantoprazole,67854
202006,Amlodipine,72578
202006,Folic Acid,56423
202006,Ramipril,64273
202006,Sertraline,45660
202007,Atorvastatin,169160
202007,Levothyroxine Sodium,161322
202007,Colecalciferol,98423
202007,Esomeprazole,134996
202007,Paracetamol,134714
202007,Acetylsalicylic Acid,161773
202007,Bisoprolol,114502
202007,Rosuvastatin,80111
202007,Salbutamol (Inhaled),97486
202007,Pantoprazole,71531
202007,Amlodipine,75928
202007,Folic Acid,60148
202007,Ramipril,68021
202007,Sertraline,48228
202008,Atorvastatin,160985
202008,Levothyroxine Sodium,154150
202008,Colecalciferol,95254
202008,Esomeprazole,128459
202008,Paracetamol,127666
202008,Acetylsalicylic Acid,153400
202008,Bisoprolol,108926
202008,Rosuvastatin,76506
202008,Salbutamol (Inhaled),93951
202008,Pantoprazole,68514
202008,Amlodipine,71990
202008,Folic Acid,57925
202008,Ramipril,64363
202008,Sertraline,46229
202009,Atorvastatin,164635
202009,Levothyroxine Sodium,157377
202009,Colecalciferol,99128
202009,Esomeprazole,131989
202009,Paracetamol,132547
202009,Acetylsalicylic Acid,155541
202009,Bisoprolol,111128
202009,Rosuvastatin,77981
202009,Salbutamol (Inhaled),102556
202009,Pantoprazole,70461
202009,Amlodipine,73352
202009,Folic Acid,59877
202009,Ramipril,65822
202009,Sertraline,47746
202010,Atorvastatin,169134
202010,Levothyroxine Sodium,161031
202010,Colecalciferol,104165
202010,Esomeprazole,135068
202010,Paracetamol,135579
202010,Acetylsalicylic Acid,159398
202010,Bisoprolol,113392
202010,Rosuvastatin,80747
202010,Salbutamol (Inhaled),103346
202010,Pantoprazole,71945
202010,Amlodipine,75419
202010,Folic Acid,61213
202010,Ramipril,67428
202010,Sertraline,49406
202011,Atorvastatin,165576
202011,Levothyroxine Sodium,157206
202011,Colecalciferol,105424
202011,Esomeprazole,133097
202011,Paracetamol,133099
202011,Acetylsalicylic Acid,155099
202011,Bisoprolol,111627
202011,Rosuvastatin,78737
202011,Salbutamol (Inhaled),97750
202011,Pantoprazole,71018
202011,Amlodipine,73683
202011,Folic Acid,60672
202011,Ramipril,66043
202011,Sertraline,48886
202012,Atorvastatin,175886
202012,Levothyroxine Sodium,167046
202012,Colecalciferol,112803
202012,Esomeprazole,141499
202012,Paracetamol,138933
202012,Acetylsalicylic Acid,163573
202012,Bisoprolol,118411
202012,Rosuvastatin,84089
202012,Salbutamol (Inhaled),105160
202012,Pantoprazole,75469
202012,Amlodipine,78469
202012,Folic Acid,63655
202012,Ramipril,70072
202012,Sertraline,51797
202101,Atorvastatin,167799
202101,Levothyroxine Sodium,158492
202101,Colecalciferol,111599
202101,Esomeprazole,134343
202101,Paracetamol,133579
202101,Acetylsalicylic Acid,155365
202101,Bisoprolol,112853
202101,Rosuvastatin,80082
202101,Salbutamol (Inhaled),99085
202101,Pantoprazole,71755
